rank,lora_memory_mb,qlora_memory_mb,memory_reduction_%
2,11623.18310546875,3284.5923,71.74102592899368
4,11626.17919921875,3287.5923,71.7225044989766
8,11632.17138671875,3292.0923,71.69838553308449
16,11644.15576171875,3301.0923,71.65022207232361
